"IID","SuperPop","Pop","PRS_COG_Dir","PRS_COG_Pop"
"HG00096","EUR","GBR",0.826352621810692,-0.184986200103768
"HG00097","EUR","GBR",-0.899459363196845,-1.47792259836533
"HG00099","EUR","GBR",0.869786664269149,-1.3585730411752
"HG00100","EUR","GBR",0.41569488535768,-1.41688833626952
"HG00101","EUR","GBR",0.784352114848444,-1.56833595362102
"HG00102","EUR","GBR",0.400461913717645,-0.917189571500317
"HG00103","EUR","GBR",-0.607149469423314,-1.44951786590144
"HG00105","EUR","GBR",0.374154548970833,-1.38556437294567
"HG00106","EUR","GBR",-0.746086782862865,-1.73657107403131
"HG00107","EUR","GBR",0.995880976753402,-0.745122479182826
"HG00108","EUR","GBR",0.114180898341936,-0.323042519850121
"HG00109","EUR","GBR",0.0277218539364894,-1.54620487164641
"HG00110","EUR","GBR",0.429950704664763,-0.540961177932004
"HG00111","EUR","GBR",0.299084252880052,-1.26323589086085
"HG00112","EUR","GBR",-0.268677232979835,-1.9261246672982
"HG00113","EUR","GBR",0.438394740038074,-1.51974693496051
"HG00114","EUR","GBR",0.330322828237338,-1.18521578746182
"HG00115","EUR","GBR",1.47412508290219,-0.800797757450624
"HG00116","EUR","GBR",0.101958919355762,-0.522317382954353
"HG00117","EUR","GBR",1.10139070423925,-1.40501500019926
"HG00118","EUR","GBR",-0.416530228226892,-2.02337780356614
"HG00119","EUR","GBR",-0.260261603197598,-1.346541804755
"HG00120","EUR","GBR",-0.993258412335854,-0.991722387902399
"HG00121","EUR","GBR",1.22271477112912,-0.899177377922446
"HG00122","EUR","GBR",-0.369325816979858,-1.00676335904167
"HG00123","EUR","GBR",0.855786495281733,-1.38413171611203
"HG00125","EUR","GBR",0.406038878098538,-1.75806285215004
"HG00126","EUR","GBR",0.848126454222069,-1.05412191034103
"HG00127","EUR","GBR",-0.643306643308636,-1.51168053781515
"HG00128","EUR","GBR",0.687068646537672,-1.42552086393785
"HG00129","EUR","GBR",-0.340255535074566,-1.38325556173123
"HG00130","EUR","GBR",-1.33646423222417,-2.00426030753866
"HG00131","EUR","GBR",0.342647067351378,-1.123288040459
"HG00132","EUR","GBR",1.03469816380927,-0.566839504796768
"HG00133","EUR","GBR",-0.0252242741196671,-1.3516966734965
"HG00136","EUR","GBR",-0.439108506977489,-0.0435134559565324
"HG00137","EUR","GBR",-0.498997529603991,-1.70082012406694
"HG00138","EUR","GBR",0.256153936236643,-0.620442822375044
"HG00139","EUR","GBR",0.645590802451188,-0.82445585134604
"HG00140","EUR","GBR",1.31548932528338,0.12010981886695
"HG00141","EUR","GBR",-1.805427284916,-1.83210078574803
"HG00142","EUR","GBR",0.648211691654297,-0.823354400124473
"HG00143","EUR","GBR",0.555490161270035,-1.49699965649831
"HG00145","EUR","GBR",0.170762942055585,-1.18425490606398
"HG00146","EUR","GBR",0.425051687057507,-1.18056157836649
"HG00148","EUR","GBR",-0.0868473633959427,-0.951723533401701
"HG00149","EUR","GBR",0.0915321737254751,-0.717062431629187
"HG00150","EUR","GBR",0.650457627055227,-0.667256424905686
"HG00151","EUR","GBR",0.0101122811765839,-1.98553756238604
"HG00154","EUR","GBR",0.577754463553959,-0.700534886463604
"HG00155","EUR","GBR",-0.0673346160340687,-1.28420775319318
"HG00157","EUR","GBR",-0.101517904332709,-0.768343458694858
"HG00158","EUR","GBR",0.14676968612828,-1.03526244659272
"HG00159","EUR","GBR",0.12958998464663,-1.84071790850417
"HG00160","EUR","GBR",0.0873698077800753,-0.597100529179518
"HG00171","EUR","FIN",0.760455437930792,0.207987140453407
"HG00173","EUR","FIN",-0.402255471859092,0.695978171958392
"HG00174","EUR","FIN",-0.706341111720083,-0.29886578299917
"HG00176","EUR","FIN",-0.823591816849916,0.809770407076064
"HG00177","EUR","FIN",-0.426653223403293,-0.16074830382581
"HG00178","EUR","FIN",-1.4625339265295,-1.88173926405147
"HG00179","EUR","FIN",-0.679755561551351,0.2076212737889
"HG00180","EUR","FIN",-2.06544827819669,-0.15642125655311
"HG00181","EUR","FIN",-1.57684370613012,-0.685705732866941
"HG00182","EUR","FIN",-0.982689638750196,0.0691638486414063
"HG00183","EUR","FIN",0.753732781376574,0.131488272133107
"HG00185","EUR","FIN",0.0941776811075148,0.0413040649462345
"HG00186","EUR","FIN",-1.82626752023407,-0.837343986006794
"HG00187","EUR","FIN",-0.433693454465719,1.96495973920348
"HG00188","EUR","FIN",-0.205840278111657,0.172064810840922
"HG00189","EUR","FIN",-1.39294212210388,0.0231686320708455
"HG00190","EUR","FIN",0.353626775154576,-0.524241071364049
"HG00231","EUR","GBR",0.451741580430785,-1.62567688801934
"HG00232","EUR","GBR",0.313959314072552,-1.73953266839979
"HG00233","EUR","GBR",0.581115791831067,-0.916128558173248
"HG00234","EUR","GBR",0.222137294072304,-0.962585922109501
"HG00235","EUR","GBR",0.934647990927879,-1.35754283767251
"HG00236","EUR","GBR",0.660854073388368,-1.40642069843658
"HG00237","EUR","GBR",1.64705832136166,-1.08563073261115
"HG00238","EUR","GBR",-0.0587106785839546,-0.752430184402841
"HG00239","EUR","GBR",0.936373157159116,-1.01325460391563
"HG00240","EUR","GBR",-0.972562098679223,-1.40110600373111
"HG00242","EUR","GBR",1.40470181831695,-1.11502908191127
"HG00243","EUR","GBR",0.593498735833328,-1.33927453742948
"HG00244","EUR","GBR",0.0925131134705692,-1.25022836813063
"HG00245","EUR","GBR",-0.2061375899649,-1.65366376224007
"HG00246","EUR","GBR",-0.691991743333062,-1.38627685013445
"HG00250","EUR","GBR",-0.800587075491992,-1.30684912288407
"HG00251","EUR","GBR",0.52231243089542,-1.58070609810939
"HG00252","EUR","GBR",-1.13352711476611,-1.5214183679331
"HG00253","EUR","GBR",0.0763995685072359,-1.99275861497498
"HG00254","EUR","GBR",0.0687281652111421,-1.47547321732715
"HG00255","EUR","GBR",-1.37518673397646,-2.10715934412415
"HG00256","EUR","GBR",0.964335621012515,-1.44722060837114
"HG00257","EUR","GBR",0.277931556060163,-0.923613419883445
"HG00258","EUR","GBR",-0.404685475490183,-1.07653798319114
"HG00259","EUR","GBR",0.856178492438556,-1.01920667686295
"HG00260","EUR","GBR",0.835090181625102,-0.410620023333085
"HG00261","EUR","GBR",0.216745912886429,-0.515362065100679
"HG00262","EUR","GBR",-0.44581487765949,-1.59618996047412
"HG00263","EUR","GBR",0.502309213660999,-1.37820852737507
"HG00264","EUR","GBR",0.0424510997614755,-1.95467382081386
"HG00265","EUR","GBR",-0.242744822035201,-1.44169987296514
"HG00266","EUR","FIN",-0.142848039345607,1.04667484918621
"HG00267","EUR","FIN",0.149076220123502,0.25885030927593
"HG00268","EUR","FIN",-1.25487958724705,-0.862453992876094
"HG00269","EUR","FIN",1.60556722133267,2.01672024416105
"HG00271","EUR","FIN",-1.76737515511306,0.682512353090522
"HG00272","EUR","FIN",0.449667972282371,0.375567552095632
"HG00273","EUR","FIN",-1.1128895059977,-1.19931898457154
"HG00274","EUR","FIN",-1.05241400260082,-0.940880400834137
"HG00275","EUR","FIN",1.26790617282203,-0.222606343600966
"HG00276","EUR","FIN",-0.43153614450894,0.0314006320222458
"HG00277","EUR","FIN",0.446878543238889,-1.35265562928031
"HG00278","EUR","FIN",-0.810150291153625,0.26420351626187
"HG00280","EUR","FIN",-0.388196597983456,0.448041887106358
"HG00281","EUR","FIN",-1.13082479620192,-0.950770354459959
"HG00282","EUR","FIN",2.7627920646331,1.43961949809443
"HG00284","EUR","FIN",0.912548441072185,1.22372350498306
"HG00285","EUR","FIN",-1.01792204021251,-0.690151975647709
"HG00288","EUR","FIN",-1.52230875867988,-0.427101353762099
"HG00290","EUR","FIN",-0.0583887485517809,0.331748279371874
"HG00304","EUR","FIN",0.713633555310223,0.993323787045042
"HG00306","EUR","FIN",0.498845625256023,-0.398135689933105
"HG00308","EUR","FIN",0.0032210847819934,-0.116892444435602
"HG00309","EUR","FIN",-0.453404851594505,-0.177611868638533
"HG00310","EUR","FIN",-0.976002962611339,-0.802740702000557
"HG00311","EUR","FIN",-1.87986697688493,-0.239623187289977
"HG00313","EUR","FIN",-1.25878819657886,0.217769259693901
"HG00315","EUR","FIN",-2.53310846111124,-2.20927080457394
"HG00318","EUR","FIN",-0.801018840476319,-0.285041855765696
"HG00319","EUR","FIN",0.330890940058821,0.297755415011156
"HG00320","EUR","FIN",0.963547839286725,-0.293179712447476
"HG00321","EUR","FIN",-1.76466904913673,-1.05523106401869
"HG00323","EUR","FIN",1.13944283404219,1.74584411944445
"HG00324","EUR","FIN",1.23271543289329,0.929416508825843
"HG00325","EUR","FIN",-0.318328312471389,-0.109146276902386
"HG00326","EUR","FIN",0.332903949612943,-1.24630781797834
"HG00327","EUR","FIN",0.663385958406111,0.10799000420166
"HG00328","EUR","FIN",0.131816982986844,-0.175157866126705
"HG00329","EUR","FIN",-0.389077171306755,0.097510812684579
"HG00330","EUR","FIN",-1.89710348954873,-0.945613560104439
"HG00331","EUR","FIN",0.323833097529929,0.441177073111798
"HG00332","EUR","FIN",-1.17262457032058,-0.670073598222387
"HG00334","EUR","FIN",0.736233043568822,-0.199787817419892
"HG00335","EUR","FIN",0.0041471070510109,-0.252224020338392
"HG00336","EUR","FIN",-2.17097504903718,-1.67625699158037
"HG00337","EUR","FIN",0.666978318823957,-0.396906377940363
"HG00338","EUR","FIN",-1.36003897910965,0.395048989173601
"HG00339","EUR","FIN",0.523709985976268,-0.168150171571585
"HG00341","EUR","FIN",-0.820325173876388,-0.876120075602431
"HG00342","EUR","FIN",0.112213337733533,0.0576506023935882
"HG00343","EUR","FIN",-0.741832950914206,-0.547641132980286
"HG00344","EUR","FIN",0.746330284342649,-0.519584936654695
"HG00345","EUR","FIN",-0.00894597672810364,-0.33528807711116
"HG00346","EUR","FIN",0.470239301338276,-1.21913932971768
