"IID","SuperPop","Pop","PRS_COG_Dir","PRS_COG_Pop"
"HG00096","EUR","GBR",-0.0262110315621282,0.232814671707673
"HG00097","EUR","GBR",0.287832852526724,0.748317561087723
"HG00099","EUR","GBR",0.419626079015102,1.70817253539388
"HG00100","EUR","GBR",-0.740007711389373,0.157358646192215
"HG00101","EUR","GBR",-0.661744911324817,-0.316668418487181
"HG00102","EUR","GBR",0.251722749618554,1.61263978587604
"HG00103","EUR","GBR",0.177996809516548,2.39450955993572
"HG00105","EUR","GBR",-0.168331904739086,-1.01710471861411
"HG00106","EUR","GBR",-0.705206771711298,0.154289368134156
"HG00107","EUR","GBR",-1.24484149630371,-0.463076509762402
"HG00108","EUR","GBR",0.880294082592961,-0.731514863139064
"HG00109","EUR","GBR",-0.267728058987951,1.52102301181159
"HG00110","EUR","GBR",0.853192831161554,0.519762770921058
"HG00111","EUR","GBR",0.361230518965928,0.893423855117629
"HG00112","EUR","GBR",0.622749830722311,-0.730233057360028
"HG00113","EUR","GBR",-0.571337951447159,0.614882755458673
"HG00114","EUR","GBR",-0.3802630225911,0.244368563248067
"HG00115","EUR","GBR",-1.34956276044796,0.737492770082194
"HG00116","EUR","GBR",-0.990736058479196,-0.0504467659302279
"HG00117","EUR","GBR",1.18387252368328,1.20140650476186
"HG00118","EUR","GBR",0.111848683606758,-1.32569651999553
"HG00119","EUR","GBR",0.37631557834141,0.911835407575865
"HG00120","EUR","GBR",-0.951866097950826,0.725205074132517
"HG00121","EUR","GBR",-0.0929351106647378,-0.276750164203347
"HG00122","EUR","GBR",0.350434836594036,-0.244399267890244
"HG00123","EUR","GBR",0.529452293472499,1.10736147312572
"HG00125","EUR","GBR",0.222972267030916,0.836585176566216
"HG00126","EUR","GBR",0.33190015176436,3.03498322091306
"HG00127","EUR","GBR",-1.36179144581496,-1.35379628980293
"HG00128","EUR","GBR",-1.16698952974529,-0.792606432149086
"HG00129","EUR","GBR",-0.880960952496247,0.289108288810844
"HG00130","EUR","GBR",1.5942283621591,1.51091203374907
"HG00131","EUR","GBR",0.266033122464035,-0.390566285601518
"HG00132","EUR","GBR",-0.822758228652588,0.823407860367144
"HG00133","EUR","GBR",0.313174793010782,1.84694917840942
"HG00136","EUR","GBR",0.482552208753047,-0.24357608986701
"HG00137","EUR","GBR",0.99163192846769,0.783453739040869
"HG00138","EUR","GBR",-0.149215369584924,-0.0253045571634473
"HG00139","EUR","GBR",-0.0246266688542356,1.17788942580823
"HG00140","EUR","GBR",1.117177930239,0.656964791975009
"HG00141","EUR","GBR",-0.532047328859869,0.797090858964348
"HG00142","EUR","GBR",0.350627476228494,2.28906045515942
"HG00143","EUR","GBR",0.41179429501909,0.214863510958145
"HG00145","EUR","GBR",0.310436558206695,2.43138205553359
"HG00146","EUR","GBR",0.110382263532208,0.019670362120254
"HG00148","EUR","GBR",0.590950531062786,0.411526620551811
"HG00149","EUR","GBR",0.738826218462605,1.81753232376484
"HG00150","EUR","GBR",1.78835800521872,2.52303116873466
"HG00151","EUR","GBR",-0.863631248237214,1.73101043367991
"HG00154","EUR","GBR",-1.04102876304673,0.763473444464069
"HG00155","EUR","GBR",1.62151045896164,1.71622733235123
"HG00157","EUR","GBR",-0.920074661133524,0.692788323577555
"HG00158","EUR","GBR",-0.34736489073094,-0.989592933109023
"HG00159","EUR","GBR",-0.217376383103749,1.18106665778419
"HG00160","EUR","GBR",-0.262772502677037,0.354974290355624
"HG00171","EUR","FIN",-0.0869750762598618,-0.804348478666219
"HG00173","EUR","FIN",0.100856430179296,1.20912673865119
"HG00174","EUR","FIN",1.36364068542296,1.26469831103112
"HG00176","EUR","FIN",-1.23016550129487,-0.541231383225463
"HG00177","EUR","FIN",-0.41575196096367,-0.382481501444753
"HG00178","EUR","FIN",-0.0835193571029448,-0.381764160595935
"HG00179","EUR","FIN",-0.19101620455184,1.17922979482378
"HG00180","EUR","FIN",-0.151586016515096,0.0973313287693748
"HG00181","EUR","FIN",0.69815016307566,0.808889351974503
"HG00182","EUR","FIN",-0.664137181071101,-1.06918248826972
"HG00183","EUR","FIN",-0.116669099914234,-0.306272856022339
"HG00185","EUR","FIN",-1.386991855139,-0.420577004391426
