"IID","SuperPop","Pop","PRS_COG_Dir","PRS_COG_Pop"
"HG00096","EUR","GBR",1.91801582939515,0.290975496068342
"HG00097","EUR","GBR",0.247560138739916,1.01415919051559
"HG00099","EUR","GBR",0.700989364638486,1.33664631404221
"HG00100","EUR","GBR",0.251701270321101,0.535857740671316
"HG00101","EUR","GBR",-1.63527548706042,-0.968964262379347
"HG00102","EUR","GBR",0.44359746833348,1.10613199698431
"HG00103","EUR","GBR",1.54382208273076,2.4432122164956
"HG00105","EUR","GBR",-0.921467594272445,-1.55232517086068
"HG00106","EUR","GBR",-0.795313916964815,-0.536098075272839
"HG00107","EUR","GBR",-0.0844269754513402,-0.00921715133318976
"HG00108","EUR","GBR",-0.445029034621462,-1.51917279298384
"HG00109","EUR","GBR",-0.589211717899099,2.10795345953292
"HG00110","EUR","GBR",1.75966553966162,0.193823377552006
"HG00111","EUR","GBR",-0.292575058066437,0.72182123782785
"HG00112","EUR","GBR",-0.13374209339364,-0.513802034014037
"HG00113","EUR","GBR",0.103602338104436,0.72214493593802
"HG00114","EUR","GBR",-0.555270893760855,0.436395627069871
"HG00115","EUR","GBR",-1.30807595977241,0.223212320257848
"HG00116","EUR","GBR",-0.262588877464663,-0.524338229643995
"HG00117","EUR","GBR",2.21706586392414,1.73106214563134
"HG00118","EUR","GBR",-1.22294252187698,-1.39007060385701
"HG00119","EUR","GBR",0.349804951726504,0.351710510053829
"HG00120","EUR","GBR",-0.116491949257444,0.1830950973292
"HG00121","EUR","GBR",-0.150109161788682,-1.28350634029109
"HG00122","EUR","GBR",-0.0254254490688111,-1.07295316955226
"HG00123","EUR","GBR",0.955545545675316,0.963977304061209
"HG00125","EUR","GBR",1.08876382891217,1.01602788903424
"HG00126","EUR","GBR",1.01778318812791,2.8119079211023
"HG00127","EUR","GBR",-1.86536970217535,-0.995087767006763
"HG00128","EUR","GBR",-1.47292206689879,-1.25654335485048
"HG00129","EUR","GBR",-0.113316167554787,0.377880257268412
"HG00130","EUR","GBR",3.1963091017834,1.9962669401577
"HG00131","EUR","GBR",-0.253017652816758,-0.958364038551774
"HG00132","EUR","GBR",-0.26489255331115,0.34164527738856
"HG00133","EUR","GBR",1.39278322133858,1.96158499978225
"HG00136","EUR","GBR",-0.102466951306331,-0.392418799822054
"HG00137","EUR","GBR",1.58193146316265,0.715719350595024
"HG00138","EUR","GBR",-0.770423247937771,1.16649493599921
"HG00139","EUR","GBR",0.139632925331993,1.89023624490525
"HG00140","EUR","GBR",0.305711499036241,0.0288298265392008
"HG00141","EUR","GBR",-1.63997291796393,0.463170085039718
"HG00142","EUR","GBR",0.721733417141854,2.01741758810359
"HG00143","EUR","GBR",0.858725340812956,0.10562809245776
"HG00145","EUR","GBR",1.41105356477822,2.47842772518451
"HG00146","EUR","GBR",1.75065926409035,-0.00951594958873206
"HG00148","EUR","GBR",0.831585845364341,0.708564555223621
"HG00149","EUR","GBR",1.97541026762763,1.40514581412529
"HG00150","EUR","GBR",2.37436852964177,2.2876236962882
"HG00151","EUR","GBR",-0.782561425671762,1.6808590587293
"HG00154","EUR","GBR",-1.27958442599961,0.567566638404119
"HG00155","EUR","GBR",2.81557730366897,1.85975882283993
"HG00157","EUR","GBR",0.234719888366996,1.09327798060065
"HG00158","EUR","GBR",-0.231604437329411,0.142828475272781
"HG00159","EUR","GBR",0.133473334913886,1.46133696035328
"HG00160","EUR","GBR",0.546143953157108,0.536235507037252
"HG00171","EUR","FIN",0.0850742023676892,-0.317413323436748
"HG00173","EUR","FIN",0.219872149042137,0.410093554913548
"HG00174","EUR","FIN",2.08700690756246,0.796631072498217
"HG00176","EUR","FIN",-0.187735867281305,-0.774012629126333
"HG00177","EUR","FIN",-0.408126341537734,-0.679898292874677
"HG00178","EUR","FIN",-0.44019680028633,-0.573398057506374
"HG00179","EUR","FIN",-1.14565693969858,1.57204384830496
"HG00180","EUR","FIN",0.777257489984685,-0.335711159466627
"HG00181","EUR","FIN",0.828958557910847,1.01372045507704
"HG00182","EUR","FIN",-1.94057155470117,-0.647862851334031
"HG00183","EUR","FIN",-0.785737207374419,-0.342576405099921
"HG00185","EUR","FIN",-1.42275952534153,-0.860009612769089
"HG00186","EUR","FIN",-0.0300602254742435,-0.894029928435838
"HG00187","EUR","FIN",1.00299578317046,0.434821956257348
"HG00188","EUR","FIN",2.10776192995081,0.451004016068219
"HG00189","EUR","FIN",-0.0372180754258287,0.172053790362493
"HG00190","EUR","FIN",-0.0888039595596658,-0.465802228534415
"HG00231","EUR","GBR",0.0686413146627475,0.447836043135052
"HG00232","EUR","GBR",-1.18295619412445,-0.545339478462113
"HG00233","EUR","GBR",-1.65719381090182,-1.14940283750602
"HG00234","EUR","GBR",0.168757969962581,-0.361464723396704
"HG00235","EUR","GBR",0.543379542141324,0.0424962896081729
"HG00236","EUR","GBR",1.36532559922545,1.22489647789379
"HG00237","EUR","GBR",-0.0166550260246848,0.665097234710809
"HG00238","EUR","GBR",1.75834366852114,0.710220751268627
"HG00239","EUR","GBR",-1.60498747007333,-1.17101591132358
"HG00240","EUR","GBR",-0.870556358065079,1.12064647795949
"HG00242","EUR","GBR",0.566811216465593,0.768980139645446
"HG00243","EUR","GBR",1.19393760118929,1.55812909811412
"HG00244","EUR","GBR",0.383608652302457,1.39811694087586
"HG00245","EUR","GBR",0.541679209968916,-0.301925613857804
"HG00246","EUR","GBR",0.497042747971982,-1.32073518008283
"HG00250","EUR","GBR",0.781574139725603,0.744874234667359
"HG00251","EUR","GBR",0.425096757309192,2.60009552914368
"HG00252","EUR","GBR",-0.963877169617775,-2.16928665460216
"HG00253","EUR","GBR",0.952111971675552,0.833250932988184
"HG00254","EUR","GBR",-0.293831109897022,1.53362194976431
"HG00255","EUR","GBR",-0.207470690366212,0.806095151530311
"HG00256","EUR","GBR",1.61752873993336,0.309692361080398
"HG00257","EUR","GBR",0.710807411698515,-1.10971958347233
"HG00258","EUR","GBR",0.613499046954399,-0.469167266031356
"HG00259","EUR","GBR",-1.53753578643876,0.0789639052726968
"HG00260","EUR","GBR",-1.07877574493257,-1.36564740358851
"HG00261","EUR","GBR",-1.14700184759753,-0.0358813385182532
"HG00262","EUR","GBR",-0.107266275986513,-1.35487643790063
"HG00263","EUR","GBR",-0.430844973338091,-1.54605040749429
"HG00264","EUR","GBR",-0.89483271353306,-2.19040173132715
"HG00265","EUR","GBR",0.487334399761787,0.893147889009316
"HG00266","EUR","FIN",1.15713363707042,0.0562765805840182
"HG00267","EUR","FIN",-0.96741495752488,-1.66315086669017
"HG00268","EUR","FIN",-1.19255758595606,0.13844610085816
"HG00269","EUR","FIN",-0.605342933767,-0.012610645806849
"HG00271","EUR","FIN",0.297385356333938,-1.56333090660649
"HG00272","EUR","FIN",0.280041968175385,-0.0759843329585423
"HG00273","EUR","FIN",-0.128871464461067,0.336073401347114
"HG00274","EUR","FIN",1.50348033070478,1.25367857557111
"HG00275","EUR","FIN",1.44630529017196,-0.296696644385813
"HG00276","EUR","FIN",-0.293540407944965,-1.1385393866438
"HG00277","EUR","FIN",0.313933427831204,-0.0751306236569928
"HG00278","EUR","FIN",1.92268351545554,1.03515346737441
"HG00280","EUR","FIN",1.95485270316898,-0.422014055609104
"HG00281","EUR","FIN",-0.609412761095794,-1.04256823266128
"HG00282","EUR","FIN",-0.563037572329011,-0.933357470260552
"HG00284","EUR","FIN",-1.07896771791977,-1.7403404160386
"HG00285","EUR","FIN",0.0592346382895916,-1.25965939380114
"HG00288","EUR","FIN",-1.31394923619245,0.927444237350233
"HG00290","EUR","FIN",0.998212913317753,0.0318533803155221
"HG00304","EUR","FIN",0.276613879118112,-1.00156172921018
"HG00306","EUR","FIN",-0.00639818356532537,-0.354606592007589
"HG00308","EUR","FIN",-1.7035194706379,-1.1242895555521
"HG00309","EUR","FIN",-1.01923120924337,-0.187208426462086
"HG00310","EUR","FIN",0.279542838408646,1.11663831278871
"HG00311","EUR","FIN",1.7639437948051,2.05885806044964
"HG00313","EUR","FIN",0.693096532393022,-0.856324434284067
"HG00315","EUR","FIN",-0.225916551965584,0.349189933341004
"HG00318","EUR","FIN",-0.158835705292875,-1.37790524630993
"HG00319","EUR","FIN",0.0751025769178948,-0.201671684879171
"HG00320","EUR","FIN",-0.442511446017801,0.456649880249133
"HG00321","EUR","FIN",-0.121850738071773,1.11756529880531
"HG00323","EUR","FIN",-0.115970879720739,-0.471351338994487
"HG00324","EUR","FIN",-0.481421628053467,0.357981004873711
"HG00325","EUR","FIN",-0.220349335336573,-1.03171901028742
